"ProcessName","WorkingSet"
"chrome","230383616"
"chrome","232095744"
"chrome","574468096"
"chrome","254013440"
"chrome","117116928"
"Code","155897856"
"Code","228433920"
"Code","135221248"
"Code","182231040"
"Code","141361152"
"Code","134574080"
"explorer","186269696"
"googledrivesync","152629248"
"Memory Compression","1037533184"
"msedge","154492928"
"MsMpEng","395128832"
"mspaint","144777216"
"mspaint","142532608"
"OUTLOOK","248164352"
"POWERPNT","171167744"
"powershell","175693824"
"SentinelAgent","535388160"
"sqlservr","156717056"
"Ssms","214249472"
"Teams","169103360"
"vmmem","484880384"
